hbzId,subject,title,otherTitleInformation,corporateBodyForTitle
HT009629092,NULL,International Law,classic and contemporary readings,NULL
HT015580352,NULL,Innovationen in öffentlichen Verwaltungen,"Workshop zu den Ergebnissen im Projekt ""Neue Instrumente für Innovationsprozesse zur Gestaltung von Arbeit und Technik in öffenlichen Büro- und Verwaltungsbereichen""",NULL
HT019063777,NULL,Exploration of the potential of the hydroxynitrile lyase from Arabidopsis thaliana in a micro-aqueous organic solvent system,NULL,NULL
HT007085593,NULL,Oelde 1933 - 1945,NULL,NULL
HT013245067,NULL,MigrantInnen aus der Türkei im Einwanderungsland Deutschland,Tagung 06.09. - 07.09.01 in Düsseldorf,NULL
HT015002749,NULL,"""Gott segne die christliche Arbeit""",von den Männer- und Knappenvereinen zur Katholischen Arbeitnehmer-Bewegung / KAB in Dortmund,NULL
HT015002752,NULL,"""Beten und Lernen und Arbeiten""",vom Gesellenverein zur internationalen Kolpingfamilie,NULL
HT015004559,NULL,Bäuerliche Verhältnisse im Mittelalter,"der ""Zehnt"" wurde im Mittelalter zum reinen Objekt des Kapitalmarktes",NULL
HT015003055,NULL,Katholisches Forum Dortmund,"Propsteihof 10, 44137 Dortmund",NULL
HT015002842,NULL,"""Mitten in der Stadt- Kirche für morgen""",NULL,NULL
HT015003062,NULL,St.-Klemens-Kommende Dortmund-Brackel Sozialinstitut des Erzbistums Paderborn,"Brackeler Hellweg 144, 44309 Dortmund-Brackel",NULL
HT015003036,NULL,Katholische Hochschulgemeinde (KHG),"Ostenbergstraße 107, 44227 Dortmund-Barop",NULL
HT015000226,NULL,Arbeit im Hintergrund,Interview im Jahr 2003 mit Elisabeth Niehaves,NULL
HT015000250,NULL,Die Emeretierung,NULL,NULL
HT015002781,NULL,Cäcilienvereine: Der Beitrag der Kirchenchöre zur Gestaltung der Gottesdienste und zum Musikleben der Stadt,NULL,NULL
HT015004439,NULL,Unsere Heimat war ein Meer der Oligozänzeit,vor 25 Millionen Jahren formte sich Doberggestein aus Meeresschlamm,NULL
HT015000232,NULL,Eine Arbeitswoche des Pastors,NULL,NULL
HT015004653,NULL,"Gab es einen ""Robin Hood"" in Südlengern?",über die Geschichte der alten Grenzbrücke zwischen Minden und Ravensberg,NULL
HT015004666,NULL,Als die Getreidefelder mit der Sense gemäht wurden,Wettmähen um die schönste Magd Südlengerns,NULL
HT015000238,NULL,Bei der Arbeit immer der Erste,NULL,NULL
HT015000241,NULL,Es gibt noch immer was zu lachen,NULL,NULL
HT015000263,NULL,Musik verbindet,NULL,NULL
HT015000249,NULL,Die Sprache des Herzens,NULL,NULL
HT015000274,NULL,Seelsorger in Zeiten des Umbruchs,NULL,NULL
HT015141476,NULL,Praxis Web 2.0,Potenziale für die Entwicklung von Medienkompetenz,NULL
HT015063073,NULL,Spice up Powdermaker,"Powdermaker Hall, Social Sciences, Queens College, New York Seit 2003, permanent",NULL
HT015063042,NULL,"Antwerpen, Linkes Ufer","Galerie Micheline Szwajcer, Antwerpen 16. Februar - 17. März 1990",NULL
HT015063044,NULL,Vergessene Zukunft,Kunstverein München 29. April - 28. Juni 1992,NULL
HT015062969,NULL,"""Falschmünzer und Panzerknacker""",eine augenzwinkernde Begleitausstellung des Kunstvereins Borken,NULL
HT015063052,NULL,"A Sense fo Friendliness, Mellowness, and Permanence","American Fine Arts, Co., New York 22. November - 23. Dezember 1992",NULL
HT015063053,NULL,The Family of Austrians,"Galerie Metropol, Wien 19. Oktober - 30. November 1993",NULL
HT015063060,NULL,"Im Geschmack der Zeit - das Werk von Hans und Marlene Poelzig aus heutiger Sicht, 2003","Weydinger Strasse 20, Berlin 3. Oktober - 20. Dezember 2003 ; IG Farben, Johann-Wolfgang-Goethe-Universität, Frankfurt am Main 11. März - 23. April 2004 ; Architekturmuseum Basel 11. September - 14. November 2004",NULL
HT015063059,NULL,Portrait of the Museum as a Chair,"Museum as Subjects, The National Museum of Art, Osaka 25. Oktober - 11. Dezember 2001",NULL
HT015063066,NULL,A Taste for Money,"Galerie Christian Nagel, Köln 8. März - 20. April 2002",NULL
HT015063031,NULL,Carl Theodors Garten in Düsseldorf-Hellerhof,Düssledorf-Hellerhof 4.-26. Oktober 1986,NULL
HT015063072,NULL,Hudson Valley Tastemakers,"Campus Bard College, Annandale-on-Hudson Seit Mai 2003",NULL
HT015006330,NULL,Flurnamen,Zeugnisse der Siedlungsgeschichte und Abbild bäuerlichen Denkens,NULL
HT015006342,NULL,Wie man um 1870 auf einem Bauernhof lebte,"schwarz, weiß, grün - das sind die Farben alter Bauernhäuser in Ravensberg",NULL
HT015006878,NULL,Wege und Chausseen,wo im 18. und 19. Jahrhundert Brücken- und Chausseegeld erhoben wurde,NULL
HT013890588,NULL,"Ecstasy, 3: Erotischer Tanz",NULL,NULL
HT019228791,NULL,Die Wissenschaft als Impulsgeber für Innovationen,ein qualitativer Beitrag jenseits gängiger Innovationsindikatorik,NULL
HT011206313,NULL,Umweltmanagement - Chance für den kommunalen Umweltschutz?,"EU-Öko-Audit und DIN/ISO 14.000 ; Dokumentation des ExpertInnenhearings, Samstag, 1. März 1997, 10.00 - 16.30 Uhr, Dietrich-Keuning-Haus in Dortmund",NULL
HT014032162,NULL,Citykirchenarbeit,"Grundlagen, Modelle und Impulse zur sozialen und kirchlichen Arbeit",NULL
HT013277895,NULL,"Langenberger Texte, 2: Grenzüberschreibend",NULL,NULL
HT013279487,NULL,Reflexionen,NULL,NULL
HT013018955,NULL,Initiativen kommunaler Gesundheitspolitik,Tagunsdokumentation ; 1. Jahrestagung der Akademie für öffentliches Gesundheitswesen am 22. November 2000 in Düsseldorf,NULL
HT012971397,NULL,Deutsche Ausflugskarte 1:100000,Deutsche Ausflugskarte,NULL
HT019059265,NULL,Neue Zytokin abhängige und unabhängige Funktion von Jak2 in der Apoptose und bei Infektionen,NULL,NULL
HT013482630,NULL,Festungsstadt Jülich 1837 - ein neues Modell im Museum Zitadelle Jülich,NULL,NULL
HT018224473,NULL,Musiktherapie-Reader,Masterstudiengang Klinische Musiktherapie,NULL
HT013481120,NULL,Briefe an F. W. Oelze,NULL,NULL
HT017747951,NULL,Dokumentation der jährlichen Akademie des Deutschen Werkbundes NW,2011,NULL
HT018911229,NULL,Mädchen können alles,NULL,NULL
HT013154042,NULL,Kyrillische Texte auf einer Wand der ehemaligen Arrestzelle in Arfeld,NULL,NULL
HT013149578,NULL,NULL,NULL,NULL
HT015002785,NULL,Kirchliche Bildungsarbeit am Beispiel des Katholischen Bildungswerkes,NULL,NULL
HT008387483,NULL,Gestaltung des öffentlichen Dienstes 2000 - EGöD 2000,DGB-Projekt mit EGB und Unterstützung der EU-Kommission ; Projektbericht,NULL
HT015000517,NULL,Eine fast unendliche Geschichte,NULL,NULL
HT015004591,NULL,Siedlung der neueren Zeit,um 1770 betrug das Freiland bereits etwa 60 Prozent der Gesamtfläche,NULL
HT014997610,NULL,Zur Weiterentwicklung denkmalwerter Gärten und Parkanlagen,NULL,NULL
HT019360379,NULL,Ich will dich begleiten ...,"meditative Musik, Rituale und Texte für eine liebevoll-zugewandte Sterbebegleitung",NULL
HT016547747,NULL,Gourmets mit Herz,"Genießen, Nachkochen, Helfen ; Gourmet-Führer und Gourmet-Kochbuch in einem",NULL
HT011113425,NULL,Die alte Leier,Ausstellung vom 2. März - . April,NULL
HT004948794,NULL,Den Behinderten eine gesicherte Zukunft,"Münster, 12. Juli 1986",NULL
HT019388617,NULL,Towards clean technology,a multi-perspective analysis of corporate environmental strategies,NULL
HT017554002,NULL,Schwerpunktthema: Musealisierung von Krieg in der Region,NULL,NULL
HT015531850,NULL,Europa kommunal,"Deutschlands große Kommunalzeitschrift für Rat, Verwaltung und Wirtschaft",NULL
HT013898365,NULL,"Das Schönste, 3: Die Finnland-Tapes",NULL,NULL
HT018410351,NULL,"Das Tafelgutverzeichnis des Bischofs von Münster 1573/74, 1: Das Amt Rheine-Bevergern",NULL,NULL
HT018437844,NULL,Ernährung - ein Thema für das Ruhrgebiet,"[aktuelle Veranstaltungen und Ausstellungen, wichtige Rezensionen und Neuerscheinungen, Ruhrgebietsbibliografie]",NULL
HT007143094,NULL,Restaurierung und Öffentlichkeit,"Beiträge zur Berufsbilddiskussion ; (Symposium Düsseldorf-Benrath, 25. - 26. Juni 1993)",NULL
HT019371261,NULL,Schwerpunktthema: Mediengeschichte und Reformation,NULL,NULL
HT014577361,NULL,"Das Hermann-Multhaupt-Lesebuch, 2",NULL,NULL
HT014579174,NULL,"Prospektion, Ausgrabung, Auswertung",Zur Siedlungsarchäologie,NULL
HT018300828,NULL,Geronto-Psychiatrie - Notstand im Alter,NULL,NULL
HT015373044,NULL,Suchtarbeit in Eckardtsheim nach dem Zweiten Weltkrieg,NULL,NULL
HT015369464,NULL,"Die Schafhaltung im ""Alten Testament""",NULL,NULL
HT015369363,NULL,Der Bauernpastor Christoph Grothoff,1805-1896,NULL
HT015369386,NULL,"""Hilf dir selbst, dann hilft dir Gott""","Johannes Dornseiffer und die ""Landwirtschaftliche Winterschule""",NULL
HT015372931,NULL,Epilepsiearbeit in Eckardtsheim,NULL,NULL
HT015369492,NULL,Nicht zu jeder Zeit problemlos: Milchversorgung der Bevölkerung,NULL,NULL
HT015369276,NULL,"""Es ist wohl Hunger unter den Menschen und dem Vieh vorauszusehen""","Witterung, Ernte, Teuerung und Hunger in den Chroniken des Odilo Girsch",NULL
HT015373127,NULL,Von der Arbeiterkolonie Wilhelmsdorf in der Senne zur Zweiganstalt Eckardtsheim (1882 bis 1914),NULL,NULL
HT015369291,NULL,Auswanderung aus Wittgenstein im 18. und 19. Jahrhundert,NULL,NULL
HT015373130,NULL,Die Weimarer Zeit,NULL,NULL
HT015373134,NULL,Eckardtsheim und der Zweite Weltkrieg (1939 bis 1948),NULL,NULL
HT015369426,NULL,"""Kunstwiesen"" im Lennetal",ein Beispiel intensiver Grünlandwirtschaft aus dem 19. Jahrhundert im Raum Altenhundem,NULL
HT015369436,NULL,Die Landwirtschaft im Spiegel zweier Rechenbücher aus der Zeit um 1900,NULL,NULL
HT015373144,NULL,Gegenwart und Perspektiven,NULL,NULL
HT015369837,NULL,"Bornheimer Geschichten, 2",NULL,NULL
HT019376014,NULL,Kleine Paradiese in OstWestfalenLippe,NULL,NULL
HT006730443,NULL,Vom Augendienst zur modernen Ophthalmologie,"Symposium an der Augenklinik der Martin-Luther-Universität Halle-Wittenberg, 22. - 23. Oktober 1994 ; 300 Jahre Universität Halle, 1694 - 1994",NULL
HT009974533,NULL,Qualitätsentwicklung - eine Option für Güte,"[Qualitätsmanagement in psychologischen Beratungsstellen evangelischer Träger ; eine Veröffentlichung des Evangelischen Zentralinstituts für Familienberatung gGmbH, Berlin und der Evangelischen Konferenz für Familien- und Lebensberatung e.V., Fachverband für Psychologische Beratung und Supervision (EKFuL)]",NULL
HT006919323,NULL,Aus Vergangenheit und Gegenwart,Mitteilungen aus d. Stadtarchiv,NULL
HT013887308,NULL,Valentin Engelhardt von Geltersheim Stifter des Kreuzigungsretabels auf dem Kiliansaltar,NULL,NULL
HT018325999,NULL,"Kunstpreis Wesseling, 8: Zeit für Wunder","Ausstellung 27. September - 7. November 2009, Ausstellungsort: Scheunen-Galerie Schwingeler Hof, Wesseling",NULL
HT014965180,NULL,Helene Grote,NULL,NULL
HT019070003,NULL,Die Wirkung von Adenosin auf die Hyaluronsäure-Synthese und die mRNA Expression der Hyaluronsäuresynthasen 1-3 an humanen koronar-arteriellen glatten Muskelzellen,NULL,NULL
HT018503239,NULL,"Häuser, Straßen, Plätze: der städtische Raum in der archivischen Überlieferungsbildung",Beiträge des 22. Fortbildungsseminars der Bundeskonferenz der Kommunalarchive (BKK) in Weimar vom 13. - 15. November 2013,NULL
HT014960287,NULL,Das Thuneser Haus,NULL,NULL
HT014960026,NULL,75 Jahre Zukunft gestalten,von der Handelskammer Duisburg zur Niederrheinischen IHK,NULL
HT014933317,NULL,Vorausschau und Technologieplanung,"2. Symposium für Vorausschau und Technologieplanung, Heinz-Nixdorf-Institut, 9. und 10. November 2006 Schloss Neuhardenberg",NULL
HT015274513,NULL,Alt und Jung,eine Altenwerk-Bewohnerin betrachtet Schloss Hamborn,NULL
HT018925628,NULL,"Meine Röhrsdorfer Geschichten, 7: Konglomerat",NULL,NULL
HT018925610,NULL,"Meine Röhrsdorfer Geschichten, 5: Kindheitsfinale",NULL,NULL
HT013580322,NULL,"In Erinnerung an Dr. Johannes Joachim Kardinal Degenhardt, Erzbischof von Paderborn 1974 bis 2002",NULL,NULL
HT019066095,NULL,Of robust kleptoplasts and versatile embryoplasts,NULL,NULL
